insertId,internalId.projectNumber,internalMetadata.billingSize,internalMetadata.bucketUuid.tcubeShardNames,internalMetadata.bucketUuid.uid,internalMetadata.logBucketDefaultSink,internalMetadata.queryAnnotations.residentBucketEntityId.projectNumber,internalMetadata.queryAnnotations.residentBucketUuid,labels.execution_id,logName,receiveLocation,receiveTimestamp,receivedLocation,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,textPayload,timestamp,trace,writerEmailAddress
000000-a3ca1b77-46b6-49f8-bc99-68540b5e73bb,,,,,,,,0gou28btfbqs,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:57.750783251Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0015102758407592772,2022-04-05T23:52:54.839Z,projects/ubc-serverless-qos/traces/aa36ea42a31a570199a564411bbd26f2,
000000-af8ec911-3869-4231-b8bd-4d3a7f19a5d7,,,,,,,,rd0fqtdjm7eq,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:53:04.738599818Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0015180625915527345,2022-04-05T23:52:53.837Z,projects/ubc-serverless-qos/traces/3f6c251a256dad8c9e3f8f72a7447772,
000000-4cbecb2e-a2d9-4525-88bb-930b83a02a28,,,,,,,,5c9fr44oefux,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:59.818821968Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0011944189071655274,2022-04-05T23:52:51.627Z,projects/ubc-serverless-qos/traces/52db0915fe23822a7b0b809924eaa814,
000000-aada7d0b-cf93-4039-9f97-e24c686ea985,,,,,,,,0gouoyftukit,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:57.750783251Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0014640365839004516,2022-04-05T23:52:51.235Z,projects/ubc-serverless-qos/traces/005c89ca809d3588a219b4c1356e524a,
000000-773e92e4-c320-4f9e-afd7-a5c001da1685,,,,,,,,n43w4g7ic8jc,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:53.088566533Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0010587549209594726,2022-04-05T23:52:49.265Z,projects/ubc-serverless-qos/traces/083d384bf5d59e2a6a6c4480a6bbba6d,
000000-b779e654-52a5-4997-a0ce-b5b0bb15a4e4,,,,,,,,rd0fu8y74fe0,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:51.896646881Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.001470861554145813,2022-04-05T23:52:49.240Z,projects/ubc-serverless-qos/traces/fb01ec5ec414b089e1094041eb0a76cf,
000000-1b2bc904-533b-4e02-8cee-a8373abf2218,,,,,,,,5c9f9lnvsge0,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:48.995393434Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0012749320268630982,2022-04-05T23:52:47.631Z,projects/ubc-serverless-qos/traces/ec995676a055c6cbf60ffbdf5f0159ba,
000000-743b76f9-367f-466e-ae71-ee3ae62627e5,,,,,,,,0gourfq1sp1r,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:57.750783251Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0014516460895538331,2022-04-05T23:52:47.336Z,projects/ubc-serverless-qos/traces/98438548c0c3bda40798f153543d85f1,
000000-9062244b-c56a-4ea4-9bfa-ccf2a2eef31d,,,,,,,,n43wcof3963c,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:53.088566533Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0012032450437545776,2022-04-05T23:52:45.561Z,projects/ubc-serverless-qos/traces/9d8208dc837178f3c0bc02f1241e2f8d,
000000-85014748-d9b7-41e3-ae79-0c4688ac4aa4,,,,,,,,rd0fvn4e8l9n,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:51.896646881Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0015164978504180909,2022-04-05T23:52:45.136Z,projects/ubc-serverless-qos/traces/484788c97e001baf9dfa4860c6e7c49b,
000000-0ef9efe2-7b36-47d2-ab5c-4c5b72bcdece,,,,,,,,5c9f0p5l7hiq,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:48.995393434Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0012719123363494874,2022-04-05T23:52:43.631Z,projects/ubc-serverless-qos/traces/206da8f57e05c8df40e18e56eb7f670f,
000000-37e1b5a8-af57-4bca-bdcf-77204410c0b4,,,,,,,,0gouj5uk9e9g,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:44.731661823Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0014654390811920167,2022-04-05T23:52:43.039Z,projects/ubc-serverless-qos/traces/9529f5c650aa62e48c1948c438e93fb0,
000000-2cdc0604-f718-4380-b777-1d0d7557044f,,,,,,,,n43wpcgvoxu8,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:42.551850420Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.001305100440979004,2022-04-05T23:52:41.764Z,projects/ubc-serverless-qos/traces/3bf2cf0d2f70f8693ba15aecb89f34aa,
000000-4c68afdb-6405-4153-aff0-704dc6e3448a,,,,,,,,rd0f671tu7bd,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:51.896646881Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0015154308080673217,2022-04-05T23:52:41.142Z,projects/ubc-serverless-qos/traces/8ff18b7838b543fa4e531cbe2080babe,
000000-ce8f6eac-d3a1-4061-ad2f-2bd4652b5415,,,,,,,,hagn2ill7ads,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:47.798908872Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0012027721405029298,2022-04-05T23:52:40.670Z,projects/ubc-serverless-qos/traces/4badb944a835f5d1b9c246f82a209e33,
000000-a76b8abc-b158-45c9-ae81-4c76c749a2b0,,,,,,,,lnfe964bwu35,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:47.277046067Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0014454997777938842,2022-04-05T23:52:39.566Z,projects/ubc-serverless-qos/traces/091f16149e738d342f9e8e2a410f3062,
000000-8dc6ea1a-eb05-4bc9-941d-7d225952e5e9,,,,,,,,5c9fooxgz5ya,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:48.995393434Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0013142236471176147,2022-04-05T23:52:38.431Z,projects/ubc-serverless-qos/traces/7bea1c46fb5a08570ac4809aa691cb3b,
000000-d23c164a-220c-4811-8adc-fc6b4db8d140,,,,,,,,0gouoarwqwsc,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:44.067717126Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.001363681197166443,2022-04-05T23:52:37.937Z,projects/ubc-serverless-qos/traces/8a5e52501408c8b60ed9d421b18ad539,
